File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_AmphBract_1.tiff,Full,1126,834,475.568602,1.75369,73.591461,0.231709,0.169348,1.670032,740.146019,34.457637,356.971593,0.44,475.568602,0,0,113.461511,0,0,356.971593,0,0,34.457637,0,0
104_AmphBract_2.tiff,Full,967,1121,586.295439,1.912005,104.689979,0.277026,0.189337,1.969467,825.869955,61.271908,523.838852,0.642,586.295439,0,0,166.66834,0,0,523.838852,0,0,61.271908,0,0
104_AmphBract_3.tiff,Full,1606,1600,827.940552,1.932506,145.566158,0.27921,0.189337,2.490337,1186.485371,106.11992,756.932348,0.602,825.881813,2.058739,0,236.112104,4.587921,0,742.518968,14.41338,0,98.055415,8.064505,0
104_AmphBract_4.tiff,Full,651,618,318.493145,1.940387,49.678762,0.254295,0.169348,1.992989,456.695841,34.308912,264.597717,0.358,318.493145,0,0,84.069736,0,0,264.597717,0,0,34.308912,0,0
104_AmphBract_5.tiff,Full,1662,1558,789.807714,1.972632,123.897571,0.260551,0.169348,2.690982,1141.664622,96.986732,669.718034,0.627,785.390868,4.416846,0,202.432305,10.403581,0,637.034221,32.683813,0,77.566416,19.420315,0
104_AndrGera_1.tiff,Full,209,129,100.332214,1.285729,16.370188,0.295391,0.169348,1.48119,148.733253,13.282577,98.369949,0.359,100.332214,0,0,31.265501,0,0,98.369949,0,0,13.282577,0,0
104_AndrGera_2.tiff,Full,2522,4023,2417.881932,1.663853,648.494617,0.939848,0.535525,7.797368,1404.415901,4008.607705,7596.147731,0.789,2079.178817,316.830571,21.872545,1382.291659,900.211152,132.666504,4348.661343,2830.702275,416.784113,1212.815716,2153.681919,642.11007
104_AndrGera_3.tiff,Full,2871,3957,2167.410376,1.825681,545.876677,0.709438,0.42337,4.847171,1677.110113,2056.554248,5125.13721,0.693,1970.617221,196.793155,0,1078.278951,551.401161,0,3391.777124,1733.360086,0,792.335248,1264.219,0
104_AndrGera_4.tiff,Full,3118,6012,3587.200849,1.675959,1264.741773,1.319853,0.616436,12.298735,1869.531637,15734.494729,16452.050946,1.077,2716.48544,686.738404,183.977005,1733.195938,2106.911966,1394.839875,5449.867375,6620.164866,4382.018705,1478.59364,5416.802005,8839.099084
104_AndrGera_5.tiff,Full,385,377,220.76261,1.707717,48.798683,0.447598,0.305296,2.198265,233.986585,65.247243,326.178767,0.117,219.750777,1.011833,0,101.607157,2.122222,0,319.511611,6.667156,0,61.748659,3.498584,0
104_AndrGera_6.tiff,Full,264,242,129.735119,1.865339,24.92721,0.307724,0.254022,1.396479,170.356297,15.745626,131.051408,0.142,129.735119,0,0,41.702034,0,0,131.051408,0,0,15.745626,0,0
104_AndrGera_7.tiff,Full,3335,5281,3136.062556,1.683959,983.840601,1.036059,0.508044,9.170238,1948.968213,7943.268338,11160.914623,0.961,2591.332496,448.109741,96.620319,1550.527462,1393.656892,606.207571,4875.818012,4379.683738,1905.412873,1241.746054,3637.522637,3063.999647
104_AndrGera_8.tiff,Full,462,354,166.802997,2.122264,24.056093,0.237713,0.169348,1.060962,235.011485,11.753324,128.616766,0.142,166.802997,0,0,40.881784,0,0,128.616766,0,0,11.753324,0,0
104_AndrGera_9.tiff,Full,322,310,204.403418,1.516609,50.732706,0.463286,0.305296,2.358745,237.019591,64.170532,309.885523,0.183,202.820658,1.582759,0,95.105712,3.495908,0,298.902805,10.982718,0,58.090702,6.07983,0
104_PoaPrat_1.tiff,Full,169,109,59.645838,1.827454,7.253931,0.165246,0.169348,0.49373,99.763957,1.739459,31.955646,0.066,59.645838,0,0,10.140557,0,0,31.955646,0,0,1.739459,0,0
104_PoaPrat_2.tiff,Full,1111,1395,964.082142,1.446972,320.287849,1.041541,0.515052,7.765119,787.68346,2727.351644,3477.398706,0.684,805.356522,111.053889,47.671731,457.967737,355.778888,292.621647,1440.116188,1117.984501,919.298017,338.058955,961.497742,1427.794947
104_PoaPrat_3.tiff,Full,86,40,28.085598,1.424218,3.891348,0.173635,0.119747,0.723455,51.606277,1.11647,15.979756,0.192,28.085598,0,0,5.086514,0,0,15.979756,0,0,1.11647,0,0
104_PoaPrat_4.tiff,Full,94,58,37.279261,1.555825,7.305911,0.247472,0.189337,0.616436,61.520916,2.726437,30.408064,0.107,37.279261,0,0,9.671171,0,0,30.408064,0,0,2.726437,0,0
104_PoaPrat_5.tiff,Full,175,181,108.028485,1.675484,21.686511,0.351174,0.254022,1.507578,133.753484,16.782033,121.912935,0.36,108.028485,0,0,38.712217,0,0,121.912935,0,0,16.782033,0,0
104_PoaPrat_6.tiff,Full,79,15,18.061698,0.830487,2.018267,0.131945,0.084674,0.305296,35.636628,0.318198,7.678406,0.203,18.061698,0,0,2.444113,0,0,7.678406,0,0,0.318198,0,0
104_PoaPrat_7.tiff,Full,59,15,15.133911,0.991152,1.860534,0.14168,0.119747,0.305296,29.477431,0.314881,7.008715,0.066,15.133911,0,0,2.220804,0,0,7.008715,0,0,0.314881,0,0
104_PoaPrat_8.tiff,Full,28,24,10.023899,2.394278,1.609595,0.28433,0.254022,0.780656,12.329397,0.943902,9.248594,0.026,10.023899,0,0,2.943919,0,0,9.248594,0,0,0.943902,0,0
104_PoaPrat_9.tiff,Full,73,57,26.717532,2.133431,3.975592,0.224412,0.189337,0.780656,40.287983,1.546046,19.453726,0.207,26.717532,0,0,6.177104,0,0,19.453726,0,0,1.546046,0,0
104_PoaPrat_10.tiff,Full,150,100,30.929957,3.233112,2.941364,0.149869,0.119747,0.431754,48.357117,0.756949,15.098964,0.1,30.929957,0,0,4.798134,0,0,15.098964,0,0,0.756949,0,0
104_PoaPrat_11.tiff,Full,92,46,18.279401,2.516494,1.989588,0.154293,0.119747,0.42337,30.773374,0.467193,9.214446,0.046,18.279401,0,0,2.92291,0,0,9.214446,0,0,0.467193,0,0
