File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
108_PoaPrat_1.tiff, Full, 2342, 1992, 42272.242468, 0.047123, 290492.013757, 12.040063, 6.801173, 88.415244, 53830.560434, 10589262.661309, 1648495.13052, 0.637, 0, 16690.283837, 25581.958631, 0, 54732.468366, 469939.363119, 0, 171947.120531, 1476548.009989, 0, 156160.264148, 10433102.397162
108_PoaPrat_10.tiff, Full, 270, 188, 4642.630502, 0.040494, 29024.454441, 9.09086, 4.301439, 41.759425, 7123.950067, 629309.451564, 137293.968552, 0.22, 0, 2557.382965, 2085.247536, 0, 7896.136872, 35768.813664, 0, 24806.445589, 112487.522963, 0, 21276.814572, 608032.636992
108_PoaPrat_11.tiff, Full, 602, 546, 12578.359257, 0.043408, 81356.127466, 10.382635, 6.083154, 62.519022, 17803.380763, 2273424.395679, 416055.650027, 0.231, 0, 5922.223704, 6656.135553, 0, 19585.014222, 112849.612384, 0, 61528.136801, 354527.513227, 0, 56100.785368, 2217323.610311
108_PoaPrat_13.tiff, Full, 236, 166, 4174.683001, 0.039763, 32669.423579, 11.095673, 4.809156, 40.807036, 6215.007806, 847061.466064, 154663.279568, 0.199, 0, 1983.09378, 2191.589221, 0, 6377.932553, 42834.767084, 0, 20036.866053, 134626.413515, 0, 17870.308456, 829191.157609
108_PoaPrat_14.tiff, Full, 194, 224, 5885.240015, 0.038061, 35027.32081, 8.69513, 6.452159, 34.679314, 8957.023931, 557396.974226, 161538.698994, 0.207, 0, 2592.735537, 3292.504477, 0, 8297.586287, 43091.922076, 0, 26067.636123, 135471.062871, 0, 23077.598324, 534319.375902
