Species,Average % AMF Colonisation,Effect of fire on % cover
Poa pratensis,21.15,-5.7861
Amphicarpa bracteata,42.32,7.8783
Andropogon gerardii,43.47,19.569
Sorghastrum nutans,40,8.6375
Asclepias tuberosa,8.33,3.1549
Aster azureus,3.75,2.9095
