File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_AmphBract_1.tiff,Full,1082,1162,893.172168,1.300981,189.695582,0.325164,0.239494,2.241863,1322.697624,127.141932,927.249521,0.596,892.050861,1.121307,0,292.530044,2.376836,0,919.782469,7.467052,0,123.18089,3.961042,0
104_AmphBract_2.tiff,Full,756,957,777.273771,1.231226,198.014212,0.378701,0.267763,2.473003,1126.829172,148.119363,938.84248,0.68,775.09103,2.182741,0,293.790197,4.897327,0,923.457073,15.385407,0,139.45386,8.665503,0
104_AmphBract_3.tiff,Full,1140,1440,1128.149008,1.276427,289.615927,0.408203,0.267763,3.054139,1563.945148,288.525828,1486.68563,0.621,1112.786605,15.362403,0,435.510035,37.582504,0,1368.616711,118.068919,0,215.421262,73.104566,0
104_AmphBract_4.tiff,Full,692,810,537.065838,1.508195,112.366922,0.333865,0.239494,2.409864,756.004003,90.022266,577.762148,0.4,535.575016,1.490821,0,180.455998,3.288035,0,567.432482,10.329666,0,84.308833,5.713433,0
104_AmphBract_5.tiff,Full,999,1237,1023.290812,1.208845,254.509554,0.401381,0.305296,3.105355,1438.720325,242.312474,1301.578091,0.73,1012.274379,11.016433,0,387.623451,26.482039,0,1218.38231,83.195781,0,191.471321,50.841154,0
104_AndrGera_1.tiff,Full,439,385,241.55437,1.593844,44.240554,0.359736,0.254022,1.893368,332.525976,42.997113,288.194829,0.35,241.55437,0,0,91.654576,0,0,288.194829,0,0,42.997113,0,0
104_AndrGera_2.tiff,Full,13271,44626,10073.998402,4.42982,2276.130104,0.683301,0.119747,18.832306,9506.565219,37487.120534,27640.349524,2.536,8876.221447,683.139493,514.637462,2391.381981,2213.03777,4180.015014,7553.157038,6953.629615,13133.562871,1405.201172,6021.308534,30060.610827
104_AndrGera_3.tiff,Full,13218,25731,7689.46547,3.346266,1684.007152,0.766133,0.169348,11.910476,7369.132805,23544.916765,22664.988942,1.997,6573.909644,733.081522,382.474304,2160.280381,2341.402284,2705.586626,6808.223103,7356.914772,8499.851067,1460.697768,6273.421659,15810.797337
104_AndrGera_4.tiff,Full,22846,47586,11584.079617,4.107879,2921.842882,0.763429,0.119747,20.553644,11731.590867,55649.388958,35909.186819,3.152,10066.64602,826.286946,691.146651,2738.810651,2653.67461,6022.192077,8650.820802,8339.091628,18919.274389,1701.743388,7168.220535,46779.425036
104_AndrGera_5.tiff,Full,505,624,378.9825,1.646514,96.362388,0.696203,0.42337,3.641967,315.875087,325.185188,883.19088,0.188,345.614018,33.368483,0,195.319217,85.577302,0,613.94752,269.24336,0,147.717787,177.467401,0
104_AndrGera_6.tiff,Full,405,399,226.185485,1.764039,52.173813,0.470688,0.34912,2.118543,241.985572,71.674012,348.254134,0.154,225.353273,0.832212,0,109.071749,1.705355,0,342.896603,5.357531,0,68.92833,2.745682,0
104_AndrGera_7.tiff,Full,5411,17372,5781.664289,3.004671,1744.598178,1.106186,0.254022,14.373646,4031.36972,31153.662752,24373.824632,1.516,4659.367926,670.51078,451.785583,2093.96074,2068.774051,3589.968612,6593.378786,6500.484821,11279.961025,1618.579317,5397.417653,24137.665782
104_AndrGera_8.tiff,Full,798,766,368.98009,2.075993,65.674334,0.335953,0.239494,1.849308,446.36458,62.700268,408.74554,0.253,368.98009,0,0,129.938789,0,0,408.74554,0,0,62.700268,0,0
104_AndrGera_9.tiff,Full,366,406,285.261304,1.423256,78.931086,0.665593,0.42337,2.890101,270.716497,202.035228,625.975246,0.186,265.810995,19.450309,0,152.999179,46.010392,0,481.073199,144.902048,0,115.083744,86.951484,0
104_PoaPrat_1.tiff,Full,103,131,92.555878,1.415361,17.553187,0.264098,0.254022,0.682664,140.195758,6.58153,78.009024,0.063,92.555878,0,0,24.805071,0,0,78.009024,0,0,6.58153,0,0
104_PoaPrat_2.tiff,Full,1335,1771,1367.772129,1.294806,482.804939,1.188926,0.598736,8.977441,1039.383807,4724.416992,5602.249635,0.724,1093.097819,199.133866,75.540444,671.47416,614.708246,495.569809,2110.593421,1932.293809,1559.362404,514.61568,1592.476624,2617.324688
104_PoaPrat_3.tiff,Full,388,218,111.336789,1.958023,15.543882,0.198191,0.169348,0.946684,183.117876,5.710597,72.030993,0.212,111.336789,0,0,22.928177,0,0,72.030993,0,0,5.710597,0,0
104_PoaPrat_4.tiff,Full,256,175,91.291999,1.916926,15.959724,0.269386,0.189337,1.071051,130.277292,8.837679,79.964601,0.162,91.291999,0,0,25.445507,0,0,79.964601,0,0,8.837679,0,0
104_PoaPrat_5.tiff,Full,375,207,138.771558,1.49166,32.303025,0.404181,0.239494,2.31115,187.361119,40.506511,188.253841,0.383,136.971096,1.800462,0,56.082739,3.816058,0,176.26534,11.988501,0,34.142592,6.36392,0
104_PoaPrat_6.tiff,Full,263,101,75.271201,1.341815,10.288501,0.160444,0.169348,0.378674,140.494949,1.993683,39.438059,0.319,75.271201,0,0,12.548454,0,0,39.438059,0,0,1.993683,0,0
104_PoaPrat_7.tiff,Full,152,70,55.839675,1.253589,8.840224,0.180339,0.169348,0.378674,104.41088,1.813975,32.977656,0.103,55.839675,0,0,10.484189,0,0,32.977656,0,0,1.813975,0,0
104_PoaPrat_8.tiff,Full,102,44,23.049471,1.908938,3.21202,0.217658,0.169348,0.850963,35.213258,1.50541,16.681341,0.104,23.049471,0,0,5.309836,0,0,16.681341,0,0,1.50541,0,0
104_PoaPrat_9.tiff,Full,178,92,60.398664,1.523212,8.505041,0.205512,0.169348,0.850963,99.262963,3.016307,39.855269,0.222,60.398664,0,0,12.686326,0,0,39.855269,0,0,3.016307,0,0
104_PoaPrat_10.tiff,Full,226,174,88.586989,1.964171,18.540811,0.423865,0.267763,1.533512,91.86873,22.859411,124.924045,0.136,88.586989,0,0,39.743083,0,0,124.924045,0,0,22.859411,0,0
104_PoaPrat_11.tiff,Full,111,93,58.87277,1.579678,12.301391,0.278018,0.267763,0.661325,88.852013,4.838883,53.74803,0.127,58.87277,0,0,17.085733,0,0,53.74803,0,0,4.838883,0,0
104_PoaPrat_12.tiff,Full,279,259,128.665263,2.012975,28.689503,0.367549,0.254022,1.314494,155.111753,25.945953,160.10297,0.139,128.665263,0,0,50.952219,0,0,160.10297,0,0,25.945953,0,0
104_PoaPrat_13.tiff,Full,2487,3824,2360.819684,1.619776,692.326499,0.815818,0.508044,6.293848,1699.917811,3128.56992,6451.320468,0.645,2106.814909,232.042785,21.96199,1262.430176,668.59513,120.915948,3969.647882,2101.803933,379.868653,973.761468,1630.156565,524.651888
