"","Burn.Unit","Plot","Realfire","Firelevel","Year","mDIFN_H","mDIFN_S","mDIFN_T","mLightUptakeTree","mLightUptakeShrub","mLightUptakeHerb","Herbbiommodel","Shrubbiomemodel"
"1","103","3",0.77,4,1995,0.207983333333333,0.56825,0.58775,0.41225,0.0195,0.360266666666667,127.979368941554,17.1617484263741
"2","103","3",0.77,4,2000,0.247430555541667,0.754041666666667,0.782958333333333,0.217041666666667,0.0289166666666666,0.506611111125,173.621256900799,31.4587773017759
"3","103","3",0.77,4,2005,0.245,0.728166666666667,0.779875,0.220125,0.0517083333333334,0.483166666666667,166.309406347164,66.0626480754255
"4","103","3",0.77,4,2010,0.240916666666667,0.455083333333333,0.546,0.454,0.0909166666666668,0.214166666666667,82.4137182909462,125.591427596457
"5","103","3",0.77,4,2015,0.284208333333333,0.726791666666667,0.919708333333333,0.0802916666666667,0.192916666666667,0.442583333333333,153.65228116644,280.454820016739
"6","103","3",0.77,4,2021,0.378083333333333,0.725208333333333,0.931083333333333,0.0689166666666666,0.205875,0.347125,123.880747502128,300.129050017845
"7","104 N","4",0.74,4,1995,0.1778,0.6208125,0.678833333333333,0.321166666666667,0.0580208333333333,0.4430125,153.786129615477,75.6467183171218
"8","104 N","4",0.74,4,2000,0.262597222208333,0.7428125,0.785354166666667,0.214645833333333,0.0425416666666667,0.480215277791667,165.388927535307,52.1451863383088
"9","104 N","4",0.74,4,2005,0.216666666666667,0.668833333333333,0.804291666666667,0.195708333333333,0.135458333333333,0.452166666666667,156.641130028418,193.217639400902
"10","104 N","4",0.74,4,2010,0.19175,0.429833333333333,0.6035,0.3965,0.173666666666667,0.238083333333333,89.8728454508392,251.228150368793
"11","104 N","4",0.74,4,2015,0.129166666666667,0.454416666666667,0.883375,0.116625,0.428958333333333,0.32525,117.058375099787,638.829459747496
"12","104 N","4",0.74,4,2021,0.236875,0.384708333333333,0.640958333333333,0.359041666666667,0.25625,0.147833333333333,61.7256861680374,376.611828382273
"13","104 S","24",0.74,4,1995,0.357808333333333,0.7023125,0.706,0.294,0.00368749999999995,0.344504166666667,123.063362313353,-6.84587307015236
"14","104 S","24",0.74,4,2000,0.374097222166667,0.663208333333333,0.677604166666667,0.322395833333333,0.0143958333333334,0.289111111166667,105.787382741945,9.41225268638878
"15","104 S","24",0.74,4,2005,0.411791666666667,0.6885,0.698,0.302,0.00949999999999995,0.276708333333333,101.919205864116,1.97906289497397
"16","104 S","24",0.74,4,2010,0.418666666666667,0.603,0.6505,0.3495,0.0475,0.184333333333333,73.1093018336581,59.6732679142946
"17","104 S","24",0.74,4,2015,0.27475,0.512625,0.642291666666667,0.357708333333333,0.129666666666667,0.237875,89.8078704755788,184.424334030633
"18","104 S","24",0.74,4,2021,0.424333333333333,0.599041666666667,0.722625,0.277375,0.123583333333333,0.174708333333333,70.107457976628,175.188200332364
"19","105","5",0.47,3,1995,0.241458333333333,0.772145833333333,0.825958333333333,0.174041666666667,0.0538125,0.5306875,181.13019820406,69.257338155991
"20","105","5",0.47,3,2000,0.290583333375,0.9570625,0.9675625,0.0324375,0.0105,0.666479166625,223.480887065788,3.49733144811399
"21","105","5",0.47,3,2005,0.288083333333333,0.727916666666667,0.862166666666667,0.137833333333333,0.13425,0.439833333333333,152.794611493003,191.383064899191
"22","105","5",0.47,3,2010,0.200333333333333,0.421916666666667,0.531166666666667,0.468833333333333,0.10925,0.221583333333333,84.7268274102162,153.42635107069
"23","105","5",0.47,3,2015,0.22425,0.64375,0.863041666666667,0.136958333333333,0.219291666666667,0.4195,146.453053907589,320.499153105806
"24","105","5",0.47,3,2021,0.269166666666667,0.551708333333333,0.713583333333333,0.286416666666667,0.161875,0.282541666666667,103.738505171407,233.325233679684
"25","106","6",0.64,3,1995,0.131191666666667,0.40125,0.405,0.595,0.00375000000000003,0.270058333333333,99.8452046538042,-6.750981285581
"26","106","6",0.64,3,2000,0.1517,0.446375,0.473666666666667,0.526333333333333,0.0272916666666667,0.294675,107.522647730572,28.9915909029235
"27","106","6",0.64,3,2005,0.102875,0.370041666666667,0.456958333333333,0.543041666666667,0.0869166666666668,0.267166666666667,98.9433519971899,119.518353383897
"28","106","6",0.64,3,2010,0.139916666666667,0.273166666666667,0.377833333333333,0.622166666666667,0.104666666666667,0.13325,57.1774378998099,146.467620202132
"29","106","6",0.64,3,2015,0.141666666666667,0.331791666666667,0.424958333333333,0.575041666666667,0.0931666666666666,0.190125,74.915606145897,129.007531841022
"30","106","6",0.64,3,2021,0.220375,0.472333333333333,0.516416666666667,0.483583333333333,0.0440833333333334,0.251958333333333,94.2001788031813,54.4858503577329
"31","107","7",0.32,2,1995,0.0979916666666667,0.239208333333333,0.428583333333333,0.571416666666667,0.189375,0.141216666666667,59.6620809537673,275.077618891034
"32","107","7",0.32,2,2000,0.086,0.302895833333333,0.429041666666667,0.570958333333333,0.126145833333333,0.216895833333333,83.2648904668574,179.078763499785
"33","107","7",0.32,2,2005,0.07525,0.23675,0.391708333333333,0.608291666666667,0.154958333333333,0.1615,65.9880445451191,222.823876187132
"34","107","7",0.32,2,2010,0.0728333333333333,0.213583333333333,0.461666666666667,0.538333333333333,0.248083333333333,0.14075,59.5165370091841,364.212635198296
"35","107","7",0.32,2,2015,0.0903333333333333,0.271125,0.500625,0.499375,0.2295,0.180791666666667,72.0047272542314,335.998144585777
"36","107","7",0.32,2,2021,0.0874583333333333,0.1785,0.387666666666667,0.612333333333333,0.209166666666667,0.0910416666666667,44.0135079120545,305.126684005264
"37","108","8",0.34,2,1995,0.0708695652173913,0.177771739130435,0.437978260869565,0.562021739130435,0.260206521739131,0.106902173913043,48.9600810286174,382.618890918609
"38","108","8",0.34,2,2000,0.0742916666666667,0.36075,0.4685,0.5315,0.10775,0.286458333333333,104.960034706302,151.148948240981
"39","108","8",0.34,2,2005,0.0572916666666667,0.140708333333333,0.496166666666667,0.503833333333333,0.355458333333333,0.0834166666666667,41.6354238175242,527.236721091705
"40","108","8",0.34,2,2010,0.0505,0.157166666666667,0.6325,0.3675,0.475333333333333,0.106666666666667,48.8866310565839,709.239163899364
"41","108","8",0.34,2,2015,0.051,0.0869583333333333,0.399541666666667,0.600458333333333,0.312583333333333,0.0359583333333333,26.8341244532068,462.140956875827
"42","108","8",0.34,2,2021,0.111583333333333,0.186166666666667,0.318,0.682,0.131833333333333,0.0745833333333333,38.8804848664835,187.713915895769
"43","110","10",0,0,1995,0.086275,0.1058125,0.15575,0.84425,0.0499375000000001,0.0195375,21.7127969031827,63.3740475125735
"44","110","10",0,0,2000,0.0316833333333333,0.0495,0.073125,0.926875,0.023625,0.0178166666666667,21.1761036075319,23.4246062080768
"45","110","10",0,0,2005,0.04,0.05875,0.093125,0.906875,0.034375,0.0187499999999999,21.4671914966984,39.745993154332
"46","110","10",0,0,2010,0.094,0.115083333333333,0.141,0.859,0.0259166666666667,0.0210833333333333,22.1949112196149,26.903971642356
"47","110","10",0,0,2015,0.0760833333333333,0.165916666666667,0.30125,0.69875,0.135333333333333,0.0898333333333334,43.6366530555443,193.027855831759
"48","110","10",0,0,2021,0.0790833333333333,0.156416666666667,0.243416666666667,0.756583333333333,0.087,0.0773333333333333,39.7381545399207,119.644875763325
"49","111","11",0.11,1,1995,0.0890083333333333,0.2545625,0.676625,0.323375,0.4220625,0.165554166666667,67.2524575636863,628.359732849802
"50","111","11",0.11,1,2000,0.0583916666666667,0.139979166666667,0.476958333333333,0.523041666666667,0.336979166666667,0.0815875,41.0649435347379,499.180383453472
"51","111","11",0.11,1,2005,0.120041666666667,0.202875,0.473041666666667,0.526958333333333,0.270166666666667,0.0828333333333333,41.4534938867951,397.741065746805
"52","111","11",0.11,1,2010,0.0719166666666667,0.130583333333333,0.223666666666667,0.776333333333333,0.0930833333333334,0.0586666666666666,33.9163967565896,128.881009461594
"53","111","11",0.11,1,2015,0.101791666666667,0.248458333333333,0.490833333333333,0.509166666666667,0.242375,0.146666666666667,61.3618263065792,355.545852207455
"54","111","11",0.11,1,2021,0.05,0.0830833333333333,0.111375,0.888625,0.0282916666666667,0.0330833333333332,25.9374697946134,30.5098594560636
"55","113","13",0.09,1,1995,0.0638333333333333,0.132229166666667,0.459083333333333,0.540916666666667,0.326854166666667,0.0683958333333333,36.9507281012499,483.807914352929
"56","113","13",0.09,1,2000,0.026625,0.0572916666666667,0.126166666666667,0.873833333333333,0.068875,0.0306666666666666,25.1837600815929,92.1262582376625
"57","113","13",0.09,1,2005,0.089875,0.0980833333333333,0.127416666666667,0.872583333333333,0.0293333333333333,0.00820833333333326,18.1794577485226,32.0913891989177
"58","113","13",0.09,1,2010,0.0685833333333333,0.0909166666666667,0.159,0.841,0.0680833333333334,0.0223333333333333,22.5847610711772,90.9242956330933
"59","113","13",0.09,1,2015,0.049625,0.0716666666666667,0.089,0.911,0.0173333333333333,0.0220416666666666,22.4937961058126,13.8721665612375
"60","113","13",0.09,1,2021,0.058,0.0849583333333333,0.10275,0.89725,0.0177916666666667,0.0269583333333333,24.0272055219579,14.5680396480933
"61","209","9",0,0,1995,0.0796916666666667,0.1189375,0.242833333333333,0.757166666666667,0.123895833333333,0.0392458333333333,27.8594295628158,175.66265925522
"62","209","9",0,0,2000,0.036725,0.0741875,0.14225,0.85775,0.0680625,0.0374625,27.3032437745869,90.8926650382362
"63","209","9",0,0,2005,0.041,0.0679583333333333,0.169416666666667,0.830583333333333,0.101458333333333,0.0269583333333333,24.0272055219579,141.596508594141
"64","209","9",0,0,2010,0.115333333333333,0.213333333333333,0.264083333333333,0.735916666666667,0.05075,0.0980000000000001,46.1836720857516,64.6076407119996
"65","209","9",0,0,2015,0.130666666666667,0.194916666666667,0.289541666666667,0.710458333333333,0.0946250000000001,0.0642499999999999,35.6577260935681,131.221673481018
"66","209","9",0,0,2021,0.0458333333333333,0.0741666666666667,0.094125,0.905875,0.0199583333333333,0.0283333333333334,24.4560403586765,17.85762151323
"67","301","18",0,0,1995,0.0642666666666667,0.0775,0.126208333333333,0.873791666666667,0.0487083333333334,0.0132333333333333,19.7466541518033,61.5078424160055
"68","301","18",0,0,2000,0.028975,0.0465208333333333,0.0852916666666667,0.914708333333333,0.0387708333333333,0.0175458333333334,21.0916361396934,46.4200486691765
"69","301","18",0,0,2005,0.0371666666666667,0.052625,0.091375,0.908625,0.03875,0.0154583333333334,20.4405868875843,46.3884180743194
"70","301","18",0,0,2010,0.0545,0.0641666666666667,0.07975,0.92025,0.0155833333333333,0.00966666666666671,18.6342825753454,11.2151965932424
"71","301","18",0,0,2015,0.365583333333333,0.381541666666667,0.406625,0.593375,0.0250833333333333,0.0159583333333333,20.5965268282092,25.6387478480726
"72","301","18",0,0,2021,0.0735416666666667,0.0927916666666667,0.105,0.895,0.0122083333333334,0.01925,21.6231314373234,6.09104022639498
