File.Name,Success,site,species,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,total_root_length_mm,Branching.frequency.per.mm,Network.Area.mm2,average_diameter_mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,volume_mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_AndrGera_2.tiff,N,104,Andropogon gerardii,Full,2522,4023,2417.881932,1.663853,648.494617,0.939848,0.535525,7.797368,1404.415901,4008.607705,7596.147731,0.789,2079.178817,316.830571,21.872545,1382.291659,900.211152,132.666504,4348.661343,2830.702275,416.784113,1212.815716,2153.681919,642.11007
104_AndrGera_2.tiff,N,104,Andropogon gerardii,Full,13271,44626,10073.9984,4.42982,2276.130104,0.683301,0.119747,18.832306,9506.565219,37487.12053,27640.34952,2.536,8876.221447,683.139493,514.637462,2391.381981,2213.03777,4180.015014,7553.157038,6953.629615,13133.56287,1405.201172,6021.308534,30060.61083
104_AndrGera_2.tiff,N,104,Andropogon gerardii,Full,1,329,1296.95764,0.253671,5726.837788,16.542133,12.729294,63.202209,369.168014,455236.8061,67732.47613,0.747,103.950763,121.991186,1071.01569,73.313943,439.351367,21047.16067,230.607779,1380.263028,66121.60533,66.724429,1313.308924,453856.7727
104_AndrGera_3.tiff,Y,104,Andropogon gerardii,Full,2871,3957,2167.410376,1.825681,545.876677,0.709438,0.42337,4.847171,1677.110113,2056.554248,5125.13721,0.693,1970.617221,196.793155,0,1078.278951,551.401161,0,3391.777124,1733.360086,0,792.335248,1264.219,0
104_AndrGera_3.tiff,N,104,Andropogon gerardii,Full,13218,25731,7689.46547,3.346266,1684.007152,0.766133,0.169348,11.910476,7369.132805,23544.91677,22664.98894,1.997,6573.909644,733.081522,382.474304,2160.280381,2341.402284,2705.586626,6808.223103,7356.914772,8499.851067,1460.697768,6273.421659,15810.79734
104_AndrGera_3.tiff,N,104,Andropogon gerardii,Full,3291,22197,6803.475106,3.262597,6196.740875,2.702887,0.189337,38.645962,4632.009772,258066.3813,70732.31668,1.779,4670.978589,725.874262,1406.622255,1610.745476,2448.554631,18447.77721,5082.468816,7693.082627,57956.76524,1124.966787,6931.166992,250010.2476
104_AndrGera_4.tiff,N,104,Andropogon gerardii,Full,3118,6012,3587.200849,1.675959,1264.741773,1.319853,0.616436,12.298735,1869.531637,15734.49473,16452.05095,1.077,2716.48544,686.738404,183.977005,1733.195938,2106.911966,1394.839875,5449.867375,6620.164866,4382.018705,1478.59364,5416.802005,8839.099084
104_AndrGera_4.tiff,N,104,Andropogon gerardii,Full,22846,47586,11584.07962,4.107879,2921.842882,0.763429,0.119747,20.553644,11731.59087,55649.38896,35909.18682,3.152,10066.64602,826.286946,691.146651,2738.810651,2653.67461,6022.192077,8650.820802,8339.091628,18919.27439,1701.743388,7168.220535,46779.42504
104_AndrGera_4.tiff,N,104,Andropogon gerardii,Full,3054,15825,6656.352054,2.377428,6926.952001,3.831667,0.478988,33.701957,3383.294454,339631.5001,93812.1045,1.75,3814.615433,962.200149,1879.536473,1625.32321,3220.475704,25008.90559,5122.182157,10120.6071,78569.31525,1252.792523,9033.587412,329345.1202
104_AndrGera_5.tiff,N,104,Andropogon gerardii,Full,385,377,220.76261,1.707717,48.798683,0.447598,0.305296,2.198265,233.986585,65.247243,326.178767,0.117,219.750777,1.011833,0,101.607157,2.122222,0,319.511611,6.667156,0,61.748659,3.498584,0
104_AndrGera_5.tiff,N,104,Andropogon gerardii,Full,505,624,378.9825,1.646514,96.362388,0.696203,0.42337,3.641967,315.875087,325.185188,883.19088,0.188,345.614018,33.368483,0,195.319217,85.577302,0,613.94752,269.24336,0,147.717787,177.467401,0
104_AndrGera_5.tiff,N,104,Andropogon gerardii,Full,1988,3218,1096.410695,2.935032,196.119622,0.501832,0.189337,4.583359,1055.988128,795.896203,1968.865365,0.324,1023.168056,73.242639,0,409.020188,216.633086,0,1287.644547,681.220818,0,268.754309,527.141894,0
104_AndrGera_6.tiff,N,104,Andropogon gerardii,Full,264,242,129.735119,1.865339,24.92721,0.307724,0.254022,1.396479,170.356297,15.745626,131.051408,0.142,129.735119,0,0,41.702034,0,0,131.051408,0,0,15.745626,0,0
104_AndrGera_6.tiff,N,104,Andropogon gerardii,Full,405,399,226.185485,1.764039,52.173813,0.470688,0.34912,2.118543,241.985572,71.674012,348.254134,0.154,225.353273,0.832212,0,109.071749,1.705355,0,342.896603,5.357531,0,68.92833,2.745682,0
104_AndrGera_6.tiff,N,104,Andropogon gerardii,Full,645,891,389.412233,2.288064,84.537781,0.525724,0.305296,2.968425,359.282085,197.645561,694.23243,0.244,375.530895,13.881338,0,188.370635,32.357139,0,592.57948,101.65295,0,137.719553,59.926007,0
